C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/18/2017,16:00:00,REGULAR,0000326916,0000524262                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/18/2017,20:00:00,REGULAR,0000327214,0000524536                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/19/2017,00:00:00,REGULAR,0000327388,0000524695                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/19/2017,04:00:00,REGULAR,0000327413,0000524708                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/19/2017,08:00:00,REGULAR,0000327446,0000524997                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/19/2017,12:00:00,REGULAR,0000327596,0000525710                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/19/2017,16:00:00,REGULAR,0000327898,0000526075                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/19/2017,20:00:00,REGULAR,0000328392,0000526688                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/20/2017,00:00:00,REGULAR,0000328618,0000526829                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/20/2017,04:00:00,REGULAR,0000328637,0000526845                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/20/2017,08:00:00,REGULAR,0000328687,0000527195                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/20/2017,12:00:00,REGULAR,0000328888,0000528048                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/20/2017,16:00:00,REGULAR,0000329181,0000528385                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/20/2017,20:00:00,REGULAR,0000329807,0000528922                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/21/2017,00:00:00,REGULAR,0000330093,0000529088                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/21/2017,04:00:00,REGULAR,0000330123,0000529102                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/21/2017,08:00:00,REGULAR,0000330168,0000529401                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/21/2017,12:00:00,REGULAR,0000330341,0000530198                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/21/2017,16:00:00,REGULAR,0000330606,0000530580                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/21/2017,20:00:00,REGULAR,0000331165,0000531131                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/22/2017,00:00:00,REGULAR,0000331456,0000531316                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/22/2017,04:00:00,REGULAR,0000331477,0000531334                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/22/2017,08:00:00,REGULAR,0000331518,0000531609                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/22/2017,12:00:00,REGULAR,0000331678,0000532327                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/22/2017,16:00:00,REGULAR,0000331991,0000532714                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/22/2017,20:00:00,REGULAR,0000332591,0000533197                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/23/2017,00:00:00,REGULAR,0000332880,0000533383                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/23/2017,04:00:00,REGULAR,0000332916,0000533403                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/23/2017,08:00:00,REGULAR,0000332958,0000533680                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/23/2017,12:00:00,REGULAR,0000333093,0000534384                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/23/2017,16:00:00,REGULAR,0000333383,0000534845                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/23/2017,20:00:00,REGULAR,0000333912,0000535344                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/17/2017,00:00:00,REGULAR,0005407512,0007446669                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/17/2017,04:00:00,REGULAR,0005407540,0007446699                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/17/2017,08:00:00,REGULAR,0005407575,0007446778                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/17/2017,12:00:00,REGULAR,0005407731,0007446986                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/17/2017,16:00:00,REGULAR,0005408025,0007447157                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/17/2017,20:00:00,REGULAR,0005408315,0007447356                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/18/2017,00:00:00,REGULAR,0005408521,0007447456                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/18/2017,04:00:00,REGULAR,0005408550,0007447487                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/18/2017,08:00:00,REGULAR,0005408565,0007447528                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/18/2017,12:00:00,REGULAR,0005408719,0007447729                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/18/2017,16:00:00,REGULAR,0005408951,0007447944                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/18/2017,20:00:00,REGULAR,0005409189,0007448152                                            
